y	x_num	z	t
18	1	1	1
25	2	1	1
38	3	1	1
54	4	1	1
61	5	1	1
70	6	1	1
83	7	1	1
87	8	1	1
94	9	1	1
98	10	1	1
17	1	1	2
29	2	1	2
41	3	1	2
47	4	1	2
64	5	1	2
76	6	1	2
81	7	1	2
88	8	1	2
98	9	1	2
96	10	1	2
16	1	1	3
37	2	1	3
38	3	1	3
54	4	1	3
60	5	1	3
71	6	1	3
73	7	1	3
90	8	1	3
92	9	1	3
94	10	1	3
22	1	1	4
27	2	1	4
36	3	1	4
53	4	1	4
56	5	1	4
76	6	1	4
82	7	1	4
90	8	1	4
98	9	1	4
96	10	1	4
18	1	1	5
22	2	1	5
43	3	1	5
47	4	1	5
64	5	1	5
78	6	1	5
80	7	1	5
87	8	1	5
94	9	1	5
97	10	1	5
2	1	0	1
3	2	0	1
1	3	0	1
7	4	0	1
7	5	0	1
8	6	0	1
14	7	0	1
27	8	0	1
41	9	0	1
48	10	0	1
1	1	0	2
2	2	0	2
4	3	0	2
3	4	0	2
14	5	0	2
8	6	0	2
20	7	0	2
28	8	0	2
32	9	0	2
49	10	0	2
2	1	0	3
3	2	0	3
1	3	0	3
6	4	0	3
8	5	0	3
6	6	0	3
17	7	0	3
26	8	0	3
38	9	0	3
50	10	0	3
0	1	0	4
2	2	0	4
1	3	0	4
4	4	0	4
4	5	0	4
8	6	0	4
17	7	0	4
28	8	0	4
38	9	0	4
50	10	0	4
0	1	0	5
0	2	0	5
1	3	0	5
1	4	0	5
9	5	0	5
17	6	0	5
18	7	0	5
36	8	0	5
39	9	0	5
56	10	0	5
